iter	Passed	Remaining
416	2840	3971
417	2847	3964
418	2854	3958
419	2860	3950
420	2872	3951
421	2882	3947
422	2888	3940
423	2895	3933
424	2902	3927
425	2909	3920
426	2915	3913
427	2923	3906
428	2929	3899
429	2936	3892
430	2942	3885
431	2950	3878
432	2956	3871
433	2963	3864
434	2970	3857
435	2976	3850
436	2984	3844
437	2991	3838
438	2999	3833
439	3006	3827
440	3014	3821
441	3023	3816
442	3030	3810
443	3037	3804
444	3046	3799
445	3054	3794
446	3066	3793
447	3076	3790
448	3083	3783
449	3092	3779
450	3099	3773
451	3107	3767
452	3115	3761
453	3122	3755
454	3129	3748
455	3138	3744
456	3146	3738
457	3153	3731
458	3162	3727
459	3170	3722
460	3179	3717
461	3186	3711
462	3193	3704
463	3200	3697
464	3209	3692
465	3215	3684
466	3222	3677
467	3229	3671
468	3236	3663
469	3242	3656
470	3249	3649
471	3256	3642
472	3263	3635
473	3270	3628
474	3276	3621
475	3284	3615
476	3291	3608
477	3296	3600
478	3304	3594
479	3310	3586
480	3317	3579
481	3324	3572
482	3330	3565
483	3338	3558
484	3344	3551
485	3352	3545
486	3358	3537
487	3365	3530
488	3372	3523
489	3379	3517
490	3386	3510
491	3393	3504
492	3400	3497
493	3407	3489
494	3414	3483
495	3421	3476
496	3427	3469
497	3434	3462
498	3442	3456
499	3449	3449
500	3455	3441
501	3462	3434
502	3469	3427
503	3475	3420
504	3482	3413
505	3488	3406
506	3497	3400
507	3503	3393
508	3510	3386
509	3517	3379
510	3524	3372
511	3530	3365
512	3537	3358
513	3544	3351
514	3550	3344
515	3558	3338
516	3566	3331
517	3573	3325
518	3580	3318
519	3587	3311
520	3594	3304
521	3600	3297
522	3608	3291
523	3616	3285
524	3624	3279
525	3631	3272
526	3639	3266
527	3648	3261
528	3655	3254
529	3663	3249
530	3672	3243
531	3680	3237
532	3689	3232
533	3697	3226
534	3707	3222
535	3715	3216
536	3722	3209
537	3729	3202
538	3737	3196
539	3745	3190
540	3753	3184
541	3760	3177
542	3767	3170
543	3774	3163
544	3781	3156
545	3788	3150
546	3795	3143
547	3803	3137
548	3809	3129
549	3817	3123
550	3825	3116
551	3832	3110
552	3839	3103
553	3846	3096
554	3853	3089
555	3860	3082
556	3867	3075
557	3873	3068
558	3883	3064
559	3891	3057
560	3898	3050
561	3905	3044
562	3913	3037
563	3919	3030
564	3927	3023
565	3934	3016
566	3941	3009
567	3949	3003
568	3956	2996
569	3963	2989
570	3970	2982
571	3977	2975
572	3984	2968
573	3992	2963
574	3999	2956
575	4007	2949
576	4013	2942
577	4020	2935
578	4027	2928
579	4033	2920
580	4040	2913
581	4048	2907
582	4055	2900
583	4061	2893
584	4069	2886
585	4076	2880
586	4083	2873
587	4090	2866
588	4097	2858
589	4103	2851
590	4110	2844
591	4117	2837
592	4124	2830
593	4131	2823
594	4138	2817
595	4146	2810
596	4152	2803
597	4159	2795
598	4165	2788
599	4171	2781
600	4178	2773
601	4184	2766
602	4191	2759
603	4197	2752
604	4204	2744
605	4210	2737
606	4217	2730
607	4223	2723
608	4230	2715
609	4236	2708
610	4242	2701
611	4249	2693
612	4256	2687
613	4263	2680
614	4269	2672
615	4275	2665
616	4281	2657
617	4288	2650
618	4294	2643
619	4300	2636
620	4307	2628
621	4313	2621
622	4320	2614
623	4326	2607
624	4333	2600
625	4339	2592
626	4346	2585
627	4352	2578
628	4359	2571
629	4365	2563
630	4371	2556
631	4378	2549
632	4384	2541
633	4391	2534
634	4397	2527
635	4403	2520
636	4409	2512
637	4416	2505
638	4422	2498
639	4428	2491
640	4435	2483
641	4441	2476
642	4447	2469
643	4454	2462
644	4461	2455
645	4468	2448
646	4474	2441
647	4481	2434
648	4487	2427
649	4494	2420
650	4500	2412
651	4507	2405
652	4513	2398
653	4520	2391
654	4526	2384
655	4533	2377
656	4539	2369
657	4545	2362
658	4552	2355
659	4560	2349
660	4567	2342
661	4574	2335
662	4581	2328
663	4587	2321
664	4594	2314
665	4601	2307
666	4607	2300
667	4614	2293
668	4620	2286
669	4627	2279
670	4634	2272
671	4640	2264
672	4647	2258
673	4654	2251
674	4661	2244
675	4667	2237
676	4673	2229
677	4680	2222
678	4686	2215
679	4693	2208
680	4699	2201
681	4705	2194
682	4712	2187
683	4718	2179
684	4725	2172
685	4731	2165
686	4738	2158
687	4744	2151
688	4751	2144
689	4757	2137
690	4764	2130
691	4770	2123
692	4777	2116
693	4783	2109
694	4789	2102
695	4795	2094
696	4802	2087
697	4808	2080
698	4814	2073
699	4821	2066
700	4827	2059
701	4833	2052
702	4840	2045
703	4847	2038
704	4853	2031
705	4860	2024
706	4868	2017
707	4874	2010
708	4880	2003
709	4887	1996
710	4893	1989
711	4899	1982
712	4906	1974
713	4912	1967
714	4919	1960
715	4925	1953
